Year|Company Name|Model ID|Section|Part Name|ATA-Capter (Ref No.)|Part ID (Component Code)|Place of Repair|Part Nos|Repair Code|Repair Description|Comments|Repair Type|TAT Days|Price per ea (USD)|Service Count|pack_flag
2019|GE|CFM56-5B|Combustor, HPT|Combustion Chamber Inner Cowl|72-42-01|42A|Plant 23 - Singapore|9531M11G02|Standard Repair|"002 :  Weld repair and resize
SB720237 :  Combustor Chamber Inner Cowl Bolt Inspection
CINSP : Clean and serviceability inspection*
"|*Note: If part fails serviceability inspection, the customer will be charged inspection fee.|"OEM
Non-OEM
Non-OEM
"|14.0|1785|3|1
2019|GE|CFM56-5B|Combustor, HPT|Combustion Chamber Outer Cowl|72-42-01|42B|Plant 23 - Singapore|2256M26G04|CINSP|CINSP : Clean and serviceability inspection*|*Note: If part fails serviceability inspection, the customer will be charged inspection fee.|Non-OEM|7.0|277|1|0
2019|GE|CFM56-5B|Combustor, HPT|Combustion Chamber Outer Cowl|72-42-01|42B|Plant 23 - Singapore|2256M26G04|Standard Repair|"001 :  Weld repair and resize
SB720327 :  Introduction of New Outer Cowl with Increased Durability
"||"OEM
Non-OEM
"|14.0|1780|2|1
2019|GE|CFM56-5B|Combustor, HPT|Combustion Chamber Outer Cowl|72-42-01|42B|Plant 23 - Singapore|2256M26G03|CINSP|CINSP : Clean and serviceability inspection*|*Note: If part fails serviceability inspection, the customer will be charged inspection fee.|Non-OEM|7.0|277|1|0
2019|GE|CFM56-5B|Combustor, HPT|Combustion Chamber Outer Cowl|72-42-01|42B|Plant 23 - Singapore|2256M26G03|Standard Repair|"001 :  Weld repair and resize
SB720327 :  Introduction of New Outer Cowl with Increased Durability
"||"OEM
Non-OEM
"|14.0|1780|2|1
2019|GE|CFM56-5B|Combustor, HPT|Combustion Chamber Outer Cowl|72-42-01|42B|Plant 23 - Singapore|1968M68G41|CINSP|CINSP : Clean and serviceability inspection*|*Note: If part fails serviceability inspection, the customer will be charged inspection fee.|Non-OEM|7.0|277|1|0
2019|GE|CFM56-5B|Combustor, HPT|Combustion Chamber Outer Cowl|72-42-01|42B|Plant 23 - Singapore|1968M68G41|Standard Repair|"001 :  Weld repair and resize
SB720327 :  Introduction of New Outer Cowl with Increased Durability
"||"OEM
Non-OEM
"|14.0|1780|2|1
2019|GE|CFM56-5B|Combustor, HPT|Combustion Chamber Outer Cowl|72-42-01|42B|Plant 23 - Singapore|1968M41G03|CINSP|CINSP : Clean and serviceability inspection*|*Note: If part fails serviceability inspection, the customer will be charged inspection fee.|Non-OEM|7.0|277|1|0
2019|GE|CFM56-5B|Combustor, HPT|Combustion Chamber Outer Cowl|72-42-01|42B|Plant 23 - Singapore|1968M41G03|Standard Repair|"001 :  Weld repair and resize
SB720327 :  Introduction of New Outer Cowl with Increased Durability
"||"OEM
Non-OEM
"|14.0|1780|2|1
2019|GE|CFM56-5B|Combustor, HPT|Combustion Chamber Outer Cowl|72-42-01|42B|Plant 23 - Singapore|1968M59G01|CINSP|CINSP : Clean and serviceability inspection*|*Note: If part fails serviceability inspection, the customer will be charged inspection fee.|Non-OEM|7.0|277|1|0
