Year|Company Name|Model ID|Section|Part Name|ATA-Capter (Ref No.)|Part ID (Component Code)|Place of Repair|Part Nos|Repair Code|Repair Description|Comments|Repair Type|TAT Days|Price per ea (USD)|pack_flag|Service Count|MapDrop|Package Flag
2019|GE|CFM56-5B|Combustor, HPT|COWL, COMBUSTION CHAMBER INNER|72-42-01|42A|Plant 23 - Singapore|9531M11G02|Standard Repair|"002 :  Weld repair and resize
SB720237 :  Combustor Chamber Inner Cowl Bolt Inspection
"||OEM REPAIR|14.0|1785|1.0|2|COWL, COMBUSTION CHAMBER INNER|
2019|GE|CFM56-5B|Combustor, HPT|COWL, COMBUSTION CHAMBER INNER|72-42-01|42A|Plant 23 - Singapore|9531M11G02|CINSP|CINSP : Clean and serviceability inspection||OEM REPAIR|0.0|277|0.0|1|COWL, COMBUSTION CHAMBER INNER|
2019|GE|CFM56-5B|Combustor, HPT|COWL, COMBUSTION CHAMBER OUTER|72-42-01|42B|Plant 23 - Singapore|1968M59G01|CINSP|CINSP : Clean and serviceability inspection||OEM REPAIR|7.0|277|0.0|1|COWL, COMBUSTION CHAMBER OUTER|
2019|GE|CFM56-5B|Combustor, HPT|COWL, COMBUSTION CHAMBER OUTER|72-42-01|42B|Plant 23 - Singapore|1968M59G01|Standard Repair|"001 :  Weld repair and resize
SB720327 :  Introduction of New Outer Cowl with Increased Durability
"||OEM REPAIR|14.0|1780|1.0|2|COWL, COMBUSTION CHAMBER OUTER|
2019|GE|CFM56-5B|Combustor, HPT|RETAINER, HPT BLADE, REAR|72-52-06|524|ACSC|2410M51P01|R002|R002 : Repair dimension D||OEM REPAIR|7.0|17910|0.0|1|RETAINER, HPT BLADE, REAR|
2019|GE|CFM56-5B|Combustor, HPT|RETAINER, HPT BLADE, REAR|72-52-06|524|ACSC|2410M51P01|CINSP|CINSP : Clean and serviceability inspection||OEM REPAIR|14.0|1580|0.0|1|RETAINER, HPT BLADE, REAR|
2019|GE|CFM56-5B|Combustor, HPT|RETAINER, HPT BLADE, REAR|72-52-06|524|ACSC|2410M51P01|R003|R003 : Thermal Spray Repair of Diameter E||OEM REPAIR|7.0|16760|0.0|1|RETAINER, HPT BLADE, REAR|
2019|GE|CFM56-5B|Combustor, HPT|CASE, COMBUSTION|72-41-01|411|ACSC|2002M92G07|R006|R006 : Dimensional restoration||OEM REPAIR|0.0|17815|0.0|1|CASE, COMBUSTION|
2019|GE|CFM56-5B|Combustor, HPT|CASE, COMBUSTION|72-41-01|411|ACSC|2002M92G07|CINSP|CINSP : Clean and serviceability inspection||OEM REPAIR|7.0|4290|0.0|1|CASE, COMBUSTION|
2019|GE|CFM56-5B|Combustor, HPT|CASE, COMBUSTION|72-41-01|411|ACSC|2002M92G07|R001|R001 : Repair threaded holes||OEM REPAIR|3.0|2510|0.0|1|CASE, COMBUSTION|
